Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Уха без картошки,20.9 кКал,1.7 г,0.5 г,2.3 г,"Карп (Варка): 300 г, Вода водопроводная питьевая: 3000 г, Соль поваренная пищевая: 3 г, Морковь (Варка без слива): 100 г, Лук репчатый (Варка без слива): 100 г, Пшенная крупа, пшено шлифованное (Варка без слива рассыпчатая): 100 г, Перец черный,  молотый или горошек: 1 г, Лавровый лист: 1 г"
Закуска из запеченой картошки с семгой,105.1 кКал,5.7 г,4.9 г,8.8 г,"Картофель печеный, с кожурой, без соли: 202 г, Семга с/с мурманская,филе,стейки: 100 г, Зелень (укроп,петрушка,лук перо): 12 г, Сыр сливочный 16,8% жирности, м.д.ж. 50% в сух. в-ве: 60 г, Огурец грунтовый: 50 г, Помидор (томат), парниковый: 70 г, Авокадо: 60 г, Сок лимонный: 6 г"
"Салат с авокадо, манго, кальмаром, креветкой с горчично апельсиновым соусе",96.5 кКал,7.8 г,4.6 г,5.2 г,"Салат с авокадо, манго с горчично- апельсиновым соусом: 200 г, Кальмар командорский отварной ""Алька"": 40 г, Креветки тигровые очищенные отварные: 50 г, Семена люцерны, проросшие: 3 г, Каперсы, консервированные: 7 г"
Салат Радуга,127.8 кКал,9.2 г,5.8 г,9.5 г,"Курица-гриль, грудка, только мясо: 200 г, Огурец грунтовый: 150 г, Кукуруза, консервы: 150 г, Морковь по-корейски классическая: 150 г, Майонез «Провансаль», 67% жирности: 2 Столовая ложка (&quo..., Сухари армейские, ржаные: 50 г"
Вафли творожные,177.3 кКал,15 г,6.9 г,13.5 г,"Яйцо куриное (Запекание): 50 г, Соль поваренная пищевая: 2 г, Сахар песок: 5 г, Ванильный экстракт, искуственный: 1 г, Творог 5% жирности (Запекание): 180 г, Молоко 3,5% жирности, пастеризованное (Запекание): 100 г, Пшеничная мука, высшего сорта (Запекание): 40 г, Подсолнечное масло: 5 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 5 г"
Творожная запеканка с тыквочкой,172.2 кКал,16.3 г,6.4 г,11.6 г,"Творог 5% жирности (Запекание): 200 г, Тыква (Запекание): 180 г, Сахар песок: 13 г, Яйцо куриное (Запекание): 67 г, Ванилин: 0.5 г, Сода пищевая, разрыхлитель для выпечки: 1 г, Подсолнечное масло: 3 г, Мука из сорго, цельнозерновая: 15 г"
Бефстроганов,148.2 кКал,12.6 г,9.3 г,3.4 г,"Говядина  вырезка стейк: 520 г, Лук репчатый (Пассерование): 130 г, Оливковое масло: 40 г, Пшеничная мука, высшего сорта (Варка без слива): 20 г, Сметана 20% жирности (Запекание): 150 г, Вода: 300 г, Соль Адыгейская Абадзехская: 2 г, Укроп: 15 г"
"Салат с авокадо, манго, форелью с горчично апельсиновым соусом",122.5 кКал,7.6 г,7.5 г,5.3 г,"Салат с авокадо, манго с горчично- апельсиновым соусом: 160 г, Креветки тигровые очищенные отварные: 18 г, Семена люцерны, проросшие: 2 г, Форель Адыгейская -Бжедугская: 50 г, Кедровый орех, сушеный: 6 г"
Форель Адыгейская - Абадзехская,150.2 кКал,20.6 г,6.6 г,0.9 г,"Форель, все виды: 820 г, Соль Адыгейская Абадзехская: 12 г, Сахар песок: 6 г"
Морковный кекс с корицей и миндалем,74.8 кКал,7.2 г,2.5 г,7.9 г,"Морковь (Запекание): 225 г, Эритрит: 120 г, Яичный белок куриный (Запекание): 246 г, Яичный желток куриный (Запекание): 41 г, Сахарозаменитель: эритрит + стевия: 15 г, Корица, молотая: 12 г, Ванилин: 3 г, Мука из овсяных отрубей: 205 г, Вода: 300 г, Сахарозаменитель: эритрит + стевия: 15 г, Творог обезжиренный: 305 г, Простокваша 2,5% жирности: 150 г, Кокосовая стружка, подслащенная: 5 г, Сахарозаменитель: эритрит + стевия: 15 г, Миндаль: 25 г"
Омлет сендвич,130.7 кКал,9.3 г,8.9 г,3.3 г,"Яйцо куриное (Запекание): 103 г, Петрушка свежая (Запекание): 25 г, Молоко 1,5% жирности, пастеризованное (Запекание): 70 г, Соевое масло: 5 г, Помидор (томат), парниковый (Запекание): 35 г, Сыр прибалтийский, м.д.ж. 20% в сух. в-ве: 10 г"
Белая рыба со сливочно-лимонной заправкой,115.9 кКал,12.6 г,5.3 г,4.4 г,"Хек (Жарка): 300 г, Пшеничная мука, высшего сорта: 20 г, Вода: 32 г, Лук репчатый (Жарка): 10 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 10 г, Сок лимонный: 5 г, Базилик, сушеный: 0.1 г, Розмарин, сушеный: 0.1 г, Шалфей, молотый: 0.1 г, Тимьян, сушеный: 0.1 г, Чабер, молотый: 0.1 г, Подсолнечное масло: 5 г"
Картофель варено-жареный,87.8 кКал,2.3 г,1 г,17.4 г,"Картофель (Варка со сливом): 1109 г, Чеснок: 10 г, Соль поваренная пищевая: 5 г, Паприка, перец сладкий молотый: 5 г, Подсолнечное масло: 5 г"
Салат с редисом и салатом,44 кКал,1.1 г,3.1 г,2.5 г,"Редис: 211 г, Айсберг (салат кочанный): 66 г, Салат романо (римский салат, ромен): 87 г, Подсолнечное масло: 11 г, Гималайская розовая соль: 0.5 г"
Сырники,192.9 кКал,17.4 г,6 г,16.6 г,"Творог 5% жирности (Жарка): 1200 г, Яйцо куриное: 180 г, Сахар песок: 120 г, Пшеничная мука, высшего сорта: 150 г, Подсолнечное масло: 17 г, Ванильный экстракт, искуственный: 13 г"
"Закуска из МилБургера с палтусом, с авокадо,креветками и семги",130.4 кКал,9.4 г,8.8 г,3 г,"Шайба палтус с кинзой: 75 г, Салат (латук): 20 г, Сыр брик дю Форез, французский мягкий белый сыр, м.д.ж. 50% в сух. в-ве: 24 г, Зелень кориандра (кинза), сырая: 3 г, Помидор (томат), парниковый: 70 г, Огурец парниковый: 20 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 42 г, Семга с/с мурманская,филе,стейки: 40 г, Авокадо: 60 г, Сок лимонный: 5 г, Перец черный,  молотый или горошек: 1 г, Соус с греческим йогуртом,кинзой,чесноком: 30 г"
Итальянский обед,229.2 кКал,9 г,13.7 г,7.2 г,"Подсолнечное масло: 5 г, Фарш говяжий: 90 г, Лук репчатый, сырой: 25 г, Яйцо куриное: 1 Штука, Томатная паста: 20 г, Вода: 60 г, Картофель белый неочищенный, сырой: 100 г, Масло сливочное 81% жирности: 10 г, Итальянская замороженная овощная смесь: 200 г"
Паэлья с гребешками морскими,81 кКал,6.1 г,2.1 г,10.2 г,"Гребешок морской: 300 г, Шафран: 3 г, Морковь (Жарка): 55 г, Лук репчатый (Жарка): 40 г, Оливковое масло Extra Virgin: 7 г, Чеснок, порошок: 1 г, Помидор (томат), парниковый (Жарка): 60 г, Перец душистый, молотый: 1 г, Сельдерей (Жарка): 7 г, Рис Самарканд круглозерный красный: 50 г"
Киноа с креветками,152.8 кКал,8.5 г,5.9 г,14.5 г,"Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 30 г, Чеснок (Жарка): 5 г, Имбиря корень сырой: 5 г, Соль поваренная пищевая: 2 г, Креветка дальневосточная (мясо) (Жарка): 205 г, Киноа, приготовленная: 450 г"
Салат с креветками `Кристина`,108.8 кКал,9.2 г,5.6 г,5 г,"Айсберг (салат кочанный): 100 г, Огурец парниковый: 60 г, Перец сладкий красный: 60 г, Авокадо: 60 г, Сыр Primadonna Maturo (Примадонна Матуро): 20 г, Сухари из батона с итальянскими травами: 25 г, Соус для салата с греческим йогуртом 4%: 30 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 150 г, Сок лимонный: 5 г"
Омлетик с брусникой запечённый в формочках,160.5 кКал,9.8 г,8.3 г,10.8 г,"Яйцо куриное (Запекание): 44 г, Йогурт Греческий с Клубникой 2% [Савушкин Продукт]: 51 г, Брусника: 51 г, Кокосовое масло (жидкое): 2 г"
Медовый бисквит для торта//,396.2 кКал,7.4 г,13.8 г,60.5 г,"Яйцо куриное (Запекание): 4 С0, Мед пчелиный: 150 г, Сахар песок: 180 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 100 г, Пшеничная мука, высшего сорта (Запекание): 280 г, Сода пищевая, разрыхлитель для выпечки: 12 г, Соль поваренная пищевая: 1 г"
Плов из булгура с индейкой,154.7 кКал,8.2 г,7.1 г,13.5 г,"Подсолнечное масло: 200 г, Лук репчатый (Жарка): 1050 г, Морковь (Тушение): 950 г, Индейка, бедро, только мясо: 950 г, Вода: 2000 г, Соль поваренная пищевая: 20 г, Барбарис: 38 г, Зира, семена: 3 г, Булгур, крупа: 500 г"
Омлетики  с нектарином в формочке,159.2 кКал,9.9 г,7.6 г,12.4 г,"Нектарин: 105 г, Яйцо куриное (Запекание): 42 г, Йогурт греческий TEOS 2%: 50 г, Кокосовое масло (жидкое): 2 г, Сахарная пудра: 1 г, Облепиха: 3 г"
Окрошка,62.5 кКал,2.9 г,4.1 г,3.2 г,"Огурец парниковый (Мытьё, нарезка): 250 г, Редис (Мытьё, нарезка): 250 г, Лук зеленый (перо) (Мытьё, нарезка): 50 г, Укроп (Мытьё, нарезка): 40 г, Яйцо куриное вареное всмятку: 220 г, Картофель (Варка в кожуре): 450 г, Колбаса вареная, телячья: 360 г, Кефир 2,5% жирности: 1000 г, Соль поваренная пищевая: 5 г, Перец черный,  молотый или горошек: 8 г, Сметана 10% жирности: 250 г, Уксус столовый 9%: 16 г, Вода, бутилированная, в общем: 1500 г"
Свежий салат с авокадо и яйцом,58.1 кКал,3.4 г,3.9 г,2.1 г,"Огурец парниковый (Мытьё, нарезка): 64 г, Помидор (томат), парниковый (Мытьё, нарезка): 90 г, Авокадо: 24 г, Салат (латук) зеленолистный: 100 г, Перец сладкий зеленый (Мытьё, нарезка): 24 г, Яйцо куриное (Варка): 90 г, Редька белая (дайкон, восточнная редька), вареная, с солью: 44 г, Соль поваренная пищевая: 1 г, Конопляное масло: 3 г"
Типа йогурт ГалинаЯ,41.8 кКал,1.3 г,1 г,6.2 г,"Вода: 150 г, Ряженка 2,5% жирности: 220 г, Псиллиум [Сырье и приправы]: 6 г, Клубника (Мытьё, нарезка): 110 г, Жимолость (Мытьё, нарезка): 110 г, Мед пчелиный: 12 г"
Минтай на сковородке,143 кКал,17.8 г,7.8 г,0.2 г,"Филе Минтая Аляска: 100 г, Яйцо куриное (Жарка): 30 г, Подсолнечное масло: 5 г"
Овсяноблин на кефире,244.5 кКал,13.2 г,10 г,25.7 г,"Овсяная крупа (Запекание): 40 г, Кефир 3,2% жирности (Запекание): 40 г, Яйцо куриное (Запекание): 60 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 2 г, Соль поваренная пищевая: 2 г"
Шайба кукурузная с кунжутом и семечками,280.9 кКал,13 г,18 г,12.5 г,"Кукурузная мука белая грубого помола: 30 г, Кукурузные отруби: 30 г, Яйцо куриное (Запекание): 128 г, Кунжут: 20 г, Подсолнечник, семечки: 50 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, straight phosphate: 2 г, Молоко 1,5% жирности, стерилизованное (Запекание): 120 г"
Шайба курогрудки с моцареллой,158 кКал,19.4 г,8 г,2.1 г,"Грудка цыпленка-бройлера (филе) (Запекание): 310 г, Яйцо куриное (Запекание): 64 г, Кукурузная мука белая грубого помола: 6 г, Сыр моцарелла, м.д.ж. 44% в сух. в-ве: 40 г, Молоко 1,5% жирности, пастеризованное (Запекание): 30 г, Оливковое масло: 2 г"
Суп гороховый,63.4 кКал,4.2 г,0.4 г,10.7 г,"Горох, зерно цельное (Варка): 600 г, Морковь (Варка без слива): 100 г, Лук репчатый (Варка без слива): 100 г, Картофель (Варка без слива): 250 г, Соль поваренная пищевая: 10 г, Вода: 2000 г, Лавровый лист: 2 г, Укроп (Варка без слива): 10 г"
Запеканка из  индейки и цыплёнка,147.3 кКал,24.4 г,5.2 г,0.9 г,"Индейка, темное мясо: 360 г, Грудка цыпленка-бройлера (филе) (Запекание): 773 г, Соль поваренная пищевая: 7 г, Аджика: 10 г, Яйцо куриное (Запекание): 57 г, Яйцо перепелиное (Запекание): 17 г, Молоко 2,5% жирности, пастеризованное (Запекание): 10 г, Куркума, молотая: 0.5 г, Паприка, перец сладкий молотый: 0.5 г, Морковь (Запекание): 50 г"
Киндер пингви,371 кКал,9.2 г,22.3 г,33.1 г,"Пшеничная мука, высшего сорта (Запекание): 45 г, Какао-порошок: 25 г, Сахар песок: 70 г, Яйцо куриное (Запекание): 200 г, Ванильный экстракт, искуственный: 10 г, Молоко сгущенное с сахаром 8,5% жирности, цельное: 180 г, Желатин пищевой: 10 г, Сливки 33%: 350 г, Вода: 70 г, Мед пчелиный: 15 г"
Винегрет с куриной грудкой,100.8 кКал,9.6 г,4.8 г,4.8 г,"Свекла отварная по 1-76: 230 г, Картофель отварной,пюре: 210 г, Яйцо куриное вареное вкрутую: 330 г, Горошек зеленый. Консервы: 80 г, Куриная грудка припущенная: 250 г"
Винегрет с сырой капустой и морковкой,65.3 кКал,1.9 г,3 г,7.6 г,"Картофель отварной,пюре: 150 г, Капуста белокочанная: 90 г, Морковь: 110 г, Свекла отварная по 1-76: 120 г, Горошек зеленый. Консервы: 170 г, Лук репчатый: 40 г, Оливковое масло: 20 г"
Тефтели `Ëжики`,183.3 кКал,8.4 г,9.9 г,14.8 г,"Рис белый, крупа рисовая (Запекание): 400 г, Морковь (Тушение): 200 г, Лук репчатый (Жарка): 200 г, Томатная паста. Консервы: 10 г, Сметана 30% жирности (Запекание): 30 г, Яйцо куриное (Запекание): 50 г, Подсолнечное масло: 50 г, Вода: 1000 г, Говядина, фарш, 80% постного мяса/ 20% жира, сырая: 400 г, Фарш свиной, 84% мяса / 16% жира: 400 г, Соль поваренная пищевая: 5 г, Перец черный,  молотый или горошек: 2 г, Паприка, перец сладкий молотый: 5 г, Имбирь, крень сушеный молотый: 5 г, Базилик, сушеный: 2 г, Петрушка свежая (Тушение): 10 г, Укроп (Тушение): 10 г"
Скумбрия дальневосточная вяленая,292.6 кКал,23.6 г,22 г,0.2 г,"Скумбрия дальневосточная: 95 г, Соль поваренная пищевая: 3 г, Куркума, молотая: 0.2 г, Паприка, перец сладкий молотый: 0.2 г"
``Миндальное молоко``,101.5 кКал,3.1 г,9 г,2.2 г,"Миндаль: 50 г, Вода колодезная (из подземного источника): 250 г, Соль поваренная пищевая: 0.2 г"
Супчик с северной рыбкой и морепродуктами,48.1 кКал,5 г,2.4 г,1.3 г,"Палтус черный (Варка): 100 г, Гребешок: 42 г, Мидии (Варка): 42 г, Муксун,полуфабрикат без головы и кожи: 120 г, Вода: 1200 г, Морковь (Пассерование): 30 г, Лук-шалот, сырой: 44 г, Имбиря корень сырой: 20 г, Чеснок (Припускание): 8 г, Лемонграсс (цимбопогон), сырой: 10 г, Перец чили красный острый (Варка без слива): 10 г, Оливковое масло: 10 г, Сок лимонный: 30 г, Зелень кориандра (кинза), сырая: 20 г, Сельдерей (Варка без слива): 20 г, Сиг,полуфабрикат,мороженый,Якутия: 80 г, Нельма,полуфабрикат,замороженая,Якутия: 104 г"
Котлеты из минтая,101.2 кКал,12.2 г,2.5 г,7.1 г,"Минтай (Жарка): 475 г, Соль поваренная пищевая: 1 г, Чеснок (Жарка): 2 г, Лавровый лист: 1 г, Куркума, молотая: 1 г, Перец белый: 1 г, Соль поваренная пищевая: 3 г, Яйцо перепелиное (Запекание): 43 г, Ржаные отруби: 30 г, Горошек зеленый. Консервы: 115 г, Сыр литовский, м.д.ж. 30% в сух. в-ве: 40 г, Томатная паста. Консервы: 100 г, Молоко 2,5% жирности, пастеризованное (Запекание): 57 г, Петрушка свежая (Запекание): 30 г, Гречневая крупа ядрица (Жарка): 40 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 2 г, Зелень кориандра (кинза), сырая: 30 г"
"Рулет из лаваша с творогом, сыром и шпинатом",167.2 кКал,14.9 г,7 г,11.2 г,"Лаваш Армянский [Рижский Хлеб]: 150 г, Творог обезжиренный: 360 г, Сыр Российский [Сыр-Бор]: 75 г, Сыр Сулугуни: 130 г, Яйцо куриное: 50 г, Шпинат (Припускание): 100 г, Щавель (Припускание): 50 г"
Семечки подсолнечника с мёдом к чаю,445 кКал,9.3 г,22.7 г,50.4 г,"Подсолнечник, семечки: 15 г, Мед пчелиный: 20 г"
"МилБургер с куриной грудкой,моцареллой острый",118.5 кКал,12.2 г,5.7 г,3.8 г,"Шайба кукурузная с кунжутом и семечками: 34 г, Шайба курогрудки с моцареллой: 92 г, Соус  с греческим йогуртом ,зеленью укропа и петрушки с чесноком: 40 г, Сыр прибалтийский, м.д.ж. 20% в сух. в-ве: 32 г, Огурец парниковый: 30 г, Помидор (томат), парниковый: 32 г, Айсберг (салат кочанный): 15 г, Перец халапеньо: 30 г"
Паровые котлеты из покупного фарша,284.2 кКал,28.7 г,18.5 г,0.7 г,"Куриный фарш: 612 г, Фарш свиной, 84% мяса / 16% жира: 438 г, Приправа чили-соль: 2 г, Соль Адыгейская ""Абхазская"": 3 г, Перец черный,  молотый или горошек: 1 г, Приправа для мяса: 2 г, Чеснок, порошок: 2 г"
"Кальмары фаршированные рисом, яйцами, грибами",205 кКал,13.1 г,11.4 г,11.4 г,"Яйцо куриное вареное вкрутую: 240 г, Рис белый вареный: 300 г, Морковь тушеная: 50 г, Лук-шалот, сырой: 20 г, Шампиньоны тушеные: 250 г, Чеснок (Тушение): 5 г, Кориандр (кинза), листья, сушеные: 5 г, Соль столовая: 5 г, Кальмар, все виды, сырой: 400 г, Петрушка сушеная: 5 г, Оливковое масло: 30 г, Перец черный,  молотый или горошек: 3 г, Чили, порошок: 3 г, Йогурт 1,5% жирности, 5,25% белка, натуральный: 160 г, Соус медово-горчичный: 50 г, Сыр гауда, твёрдый голландский сыр, м.д.ж. 47% в сух. в-ве: 150 г"
Суп Харчо,47.8 кКал,3.3 г,1.6 г,5 г,"Бульон говяжий: 2500 г, Морковь (Варка без слива): 100 г, Помидор (томат), парниковый (Варка без слива): 135 г, Рис белый, крупа рисовая (Варка со сливом рассыпчатая): 128 г, Петрушка свежая (Варка без слива): 10 г, Чеснок (Варка без слива): 15 г, Соль поваренная пищевая: 10 г, Перец черный,  молотый или горошек: 10 г, Картофель (Варка без слива): 150 г, Стейк мраморной говядины: 260 г"
Вешенки и шампиньоны жареные,48.5 кКал,3.5 г,2.3 г,3.3 г,"Вешенки: 100 г, Шампиньоны (Жарка): 100 г, Соль поваренная пищевая: 1 г, Морковь: 30 г, Перец сладкий красный (Жарка): 30 г, Сметана 15% жирности: 30 г, Петрушка свежая: 3 г, Лук зеленый (перо): 2 г"
Куринная грудка с шампиньонами и сметаной,111.7 кКал,18.7 г,3.8 г,0.6 г,"Шампиньоны (Тушение): 1210 г, Куриная грудка (филе) (Тушение): 1000 г, Подсолнечное масло: 16 г, Сметана 10% жирности (Жарка): 100 г"
Свинина в кисло-сладком соусе в мультиварке,277.4 кКал,9.7 г,22.5 г,8.7 г,"Свинина, шейная часть (мякоть) (Жарка мелким куском): 700 г, Лук репчатый (Тушение): 150 г, Морковь (Тушение): 160 г, Перец сладкий красный (Тушение): 250 г, Чеснок (Жарка): 15 г, Соевый соус: 85 г, Кетчуп: 4 tbsp, Сахар, коричневый: 4 tsp brownulated, Крахмал картофельный: 1 Столовая ложка (&quo..., Кунжутное масло: 2 Столовая ложка (&quo..., Перец красный молотый острый: 1 tsp, Уксус яблочный: 35 г, Имбирь, крень сушеный молотый: 1 tbsp"
Овощи тушеные,77.2 кКал,3.1 г,3.4 г,8 г,"Брокколи (Тушение): 554 г, Фасоль стручковая, зеленая, замороженная: 800 г, Помидор (томат), парниковый (Тушение): 480 г, Подсолнечное масло: 30 г, Горчица, семя: 57 г, Сахар песок: 30 г"
Вешенки и королевские шампиньоны жареные со сметаной,68 кКал,5.4 г,3.3 г,3.8 г,"Вешенки: 150 г, Шампиньоны (Жарка): 100 г, Соль поваренная пищевая: 2 г, Сметана 15% жирности: 30 г, Куркума, молотая: 0.2 г, Паприка, перец сладкий молотый: 0.2 г"
"Крапива сушёная, растёртая в порошок для супов, как специя",224 кКал,21.3 г,0 г,26.7 г,Крапива: 32 г
Сырники,233.5 кКал,21.5 г,9.9 г,13.1 г,"Творог 5% жирности (Запекание): 130 г, Яйцо куриное (Запекание): 40 г, Рисовая мука, белая: 20 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 5 г, Соль поваренная пищевая: 1 г"
Печень индейки жареная высоким блинчиком,165.1 кКал,21.7 г,8 г,0 г,"Печень индейки: 506 г, Кокосовое масло (жидкое): 6 г"
Паста Амосова,312.6 кКал,4.8 г,9.6 г,51.3 г,"Мед пчелиный: 250 г, Лимон (Мытьё, нарезка): 150 г, Изюм, золотистый, без косточек: 250 г, Курага (абрикосы сушеные без косточки): 250 г, Инжир сушеный (Мытьё, нарезка): 250 г, Чернослив (слива сушеная): 250 г, Грецкий орех: 250 г"
Овсяно- шайбочки `Алька`,181.8 кКал,10.5 г,8.2 г,19.4 г,"Овсяные хлопья ""геркулес"" (Запекание): 50 г, Овсяные отруби: 30 г, Овсяные отруби: 30 г, Яйцо куриное (Запекание): 183 г, Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, straight phosphate: 4 г, Шафран: 1 г, Мука с разрыхлителем без глютена: 30 г, Молоко 1,5% жирности, пастеризованное (Запекание): 150 г, Масло авокадо: 4 г"
"Овсяно шайбочка с креветками,авокадо,форелью с микрозеленью подсолнечника",169.9 кКал,9.6 г,11.7 г,6.6 г,"Овсяно- шайбочки ""Алька"": 48 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 40 г, Авокадо: 34 г, Помидор (томат), парниковый: 20 г, Креветки тигровые припущенные на двух маслах с чесноком для салата: 31 г, Форель с/с атлантическая: 31 г, Лимон: 20 г, Сок лимонный: 5 г, Перец черный,  молотый или горошек: 1 г, Зелень кориандра (кинза), сырая: 3 г"
Карри с нутом по-индийски,207.7 кКал,7.5 г,10.3 г,17.2 г,"Томатная паста. Консервы: 130 г, Сельдерей (Тушение): 85 г, Лук репчатый (Жарка): 60 г, Чеснок (Жарка): 5 г, Помидоры (томаты), тушеные: 350 г, Оливковое масло: 60 г, Перец черный,  молотый или горошек: 5 г, Нут (турецкий горох), вареный, с солью: 1200 г, Паприка, перец сладкий молотый: 20 г, Зира, семена: 20 г, Кокосовое молоко (отжатое из мякоти), консервированное: 400 г, Перец чили красный острый: 20 г, Соль поваренная пищевая: 10 г, Кориандр (кинза), листья, сушеные: 15 г, Карри, порошок: 50 г, Кориандр, семена: 20 г"
Хлеб безглютен,237.2 кКал,7 г,5 г,36.9 г,"Псиллиум [Polezzno]: 20 г, Нутовая мука: 120 г, Рисовая мука, белая: 120 г, Уксус яблочный: 10 г, Горчичное масло: 15 г, Кукурузный крахмал: 40 г, Вода: 300 г, Соль поваренная пищевая: 2 г, Сода пищевая, разрыхлитель для выпечки: 2 г"
Шампиньоны и вешенки  тушёные со сметаной,66.5 кКал,7 г,3.2 г,1.9 г,"Вешенки: 77 г, Шампиньоны (Тушение): 140 г, Почки свиные варёные 8 мая: 14 г, Печень индейки жареная высоким блинчиком: 21 г, Огурец парниковый: 37 г, Помидор (томат), парниковый: 10 г, Морковь: 3 г, Сметана 15% жирности: 31 г, Соль поваренная пищевая: 1 г"
"Слат с куриной грудкой,авокадо,помидором,сладким перцем",127.4 кКал,9.3 г,7.1 г,6.5 г,"Салат (латук): 70 г, Перец сладкий красный: 60 г, Помидор (томат), парниковый: 70 г, Авокадо: 60 г, Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве: 20 г, Сок лимонный: 10 г, Перец черный,  молотый или горошек: 1 г, Сухари из батона с итальянскими травами: 29 г, Кедровый орех, сушеный: 20 г, Куриная грудка с прованскими травами: 100 г"
Суп щавелевый  с куриными бедрышками,73 кКал,5.8 г,3.9 г,3.2 г,"Вода: 700 г, Картофель (Варка без слива): 163 г, Курица, цыплята-бройлеры, только мясо: 240 г, Лук зеленый (перо): 10 г, Оливковое масло: 30 г, Щавель (Варка без слива): 160 г"
Бедра куриные тушеные с луком и чесноком в мультиварке,128.7 кКал,16.3 г,6.1 г,1 г,"Курица, цыплята-бройлеры, бедро, только мясо: 900 г, Лук репчатый (Тушение): 80 г, Чеснок (Тушение): 18 г, Оливковое масло: 30 г, Соль поваренная пищевая: 4 г, Перец черный,  молотый или горошек: 1 г, Вода: 200 г"
"Овсяная шайбочка с форелью,авокадо и сливочным сыро",141.6 кКал,8.2 г,8.8 г,6.8 г,"Овсяно- шайбочки ""Алька"": 50 г, Форель с/с атлантическая: 40 г, Сыр сливочный 16,8% жирности, м.д.ж. 50% в сух. в-ве: 40 г, Огурец парниковый: 30 г, Авокадо: 40 г, Лимон: 20 г, Лук зеленый (перо): 2 г, Зелень кориандра (кинза), сырая: 1 г"
Суп карри с лапшой и курицей,52.9 кКал,3.4 г,1 г,6.8 г,"Куриная грудка (филе) (Жарка): 300 г, Вода: 3000 г, Морская капуста (ламинария) сушеная (Варка без слива): 10 г, Перец сладкий красный (Жарка): 150 г, Чеснок (Жарка): 5 г, Перец черный,  молотый или горошек: 2.5 г, Сок лимонный: 30 г, Сахар песок: 10 г, Карри, порошок: 40 г, Зелень кориандра (кинза), сырая: 10 г, Кориандр, семена: 5 г, Тмин, семена: 5 г, Соус чили шрирача: 20 г, Соль поваренная пищевая: 10 г, Лук зеленый (перо): 20 г, Имбиря корень сырой: 20 г, Лапша японская, сомен, приготовленная: 750 г, Грибы жареные (сушеные) по 1-268: 100 г"
Печень с грибами в сливочно-горчичном соусе,118.1 кКал,7.5 г,5.1 г,7.2 г,"Печень куриная (Тушение): 449 г, Лук репчатый (Жарка): 120 г, Куриная грудка (филе) (Тушение): 120 г, Яблоко Фуджи: 150 г, Шампиньоны (Жарка): 250 г, Манная крупа (Жарка): 50 г, Кукурузный крахмал: 30 г, Сливки 20% жирности, пастеризованные (Кипячение): 250 г, Пиво, обычное, все виды: 900 г, Масло сливочное 81% жирности: 20 г, Горчица столовая: 20 г, Перец черный,  молотый или горошек: 3 г, Соль поваренная пищевая: 10 г, Чеснок (Тушение): 10 г, Сок лимонный: 20 г"
Соус майонезный для салатов,422.5 кКал,11 г,40.5 г,4.1 г,"Подсолнечное масло: 50 г, Оливковое масло: 0 г, Горчичное масло: 50 г, Соевый протеиновый изолят: 25 г, Кунжут: 25 г, Рассол из под зеленого горошка: 100 г, Уксус яблочный: 15 г, Горчица желтая, приготовленная: 10 г, Куркума, молотая: 2 г, Перец черный,  молотый или горошек: 2 г, Соль поваренная пищевая: 1 г"
Паштет,176.5 кКал,13 г,10.9 г,5.6 г,"Печень свиная: 400 г, Лук репчатый (Тушение): 200 г, Морковь (Тушение): 200 г, Жир гусиный: 20 г, Соль поваренная пищевая: 2 г, Вода: 300 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 50 г"
